, Fuel Type, Transmission, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Anti theft Engine immobilizer, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Parking Sensors, Clock, Headlights On Reminder, Tachometer, Unit / Display Size, Android / Apple Connectivity , Wireless Charger, Air Conditioner, Heater, Front AC, Anti-glare Rear View Mirrors, 12V Power Outlets, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Headrests, Rear Passenger Seats Type, Power Windows, Window Control: One Touch -Down, Exterior Door Handles, Interior Door Handles, Doot Sill Plates, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Ambient or soft Interior Lighting, Cup Holders, Pockets inside Door, Roof Mounted Antenna, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres),NAME, Speed Sensing Door Lock, Central Locking, Integrated Music System, Infotainment Display, Steering Mounted Controls, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, Steering Adjustment, Vanity Mirrors on Sun Visors, Armrest for Rear Seat, Turn Indicators on ORVM, Daytime Running Lights, Fog Lamps, Leather-wrapped Gear Knob, Active Gear Display, Hill Hold Assist, Real Time Mileage, Parking Assist, Voice Command Support, Push Button Start / Stop, Cruise Control Driving Mode, WIndow Control: One Touch - Up, Rear Glass Defogger, Automatic Head Lights, Ground Clearance (mm), Middle rear three-point seatbelt, Tyre Pressure Monitoring (TPMS), Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote Car Light Flashing & Honking Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, GPS & Navigation, Rear AC, Head Rest for Middle Rear Seat, Brake Assist in Emergency (BA), Electronic Stability Program (ESP), Traction Control, Adjustment Options - Rear Row Seat, Driver Armrest, Follow me home head Lights, Storage in Driver Armrest, Seat Adjustment, Forward Collision Warning , Automatic Emergency Braking, High-beam Assist, Lane Departure Warning, Average Speed, Alexa Compatibility, Reading Lamp for Rear Passengers, Sunroof / Moonroof, Remote AC Control Via app, Remote Sunroof Open/Close Via app, Rain-sensing Wipers, Blinds - Rear Windshield, Leather-wrapped Steering, Pockets in Front Seat-back, Time for 0-100 kmph Acceleration , Peak Motor Performance, Battery, Others, Curb Weight (kgs), Battery Warranty (Years)
0, Petrol, Manual - 5 Gears, 18.6, 651," 1199 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",  i-VTEC, 89 bhp @ 6000 rpm, 110 Nm @ 4800 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7," McPherson Strut, Coil Spring"," Torsion Beam, Coil Spring", Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 420, 35, 5, 3995, 1695, 1498, 2470, 2, 4, 4 Star (Global NCAP)," 2 Airbags (Driver, Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital,No information, Analogue, 2 Din," Android Auto (No), Apple Car Play (No)", Optional, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only,No information, Disc, Drum,No information,No information, Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Front & Rear, Driver, Body Coloured, Ivory, Plastic, Black, Internally Adjustable, Internal with Key, Halogen,No information, Halogen, Dual Tone, Black and Beige, Centre, Optional, Front Only, Front & Rear,No information,No information, 3, Unlimited, Not Applicable,Honda Amaze E 1.2 Petrol MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Petrol, Manual - 5 Gears, 18.6, 651," 1199 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",  i-VTEC, 89 bhp @ 6000 rpm, 110 Nm @ 4800 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7," McPherson Strut, Coil Spring"," Torsion Beam, Coil Spring", Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 420, 35, 5, 3995, 1695, 1498, 2470, 2, 4, 4 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital,No information, Analogue, 2 Din," Android Auto (No), Apple Car Play (No)", Optional, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only,No information, Disc, Drum,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Front & Rear, Driver, Body Coloured, Silver, Plastic, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, LED, Dual Tone, Black and Beige, Centre, Optional, Front & Rear, Front & Rear,No information,No information, 3, Unlimited, Not Applicable,Honda Amaze S 1.2 Petrol MT,No information, Keyless,No information, Digital Display,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt, Co-Driver Only, With Cup Holder,No information, LED, Halogen,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Petrol," Automatic (CVT) - CVT Gears, Paddle Shift", 18.3, 641," 1199 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",  i-VTEC, 89 bhp @ 6000 rpm, 110 Nm @ 4800 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7," McPherson Strut, Coil Spring"," Torsion Beam, Coil Spring", Steel Rims, 175 / 65 R14, 175 / 65 R14, Steel, 420, 35, 5, 3995, 1695, 1498, 2470, 2, 4, 4 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital,No information, Analogue, 2 Din," Android Auto (No), Apple Car Play (No)", Optional, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only,No information, Disc, Drum,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Front & Rear, Driver, Body Coloured, Silver, Plastic, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, LED, Dual Tone, Black and Beige, Centre, Optional, Front & Rear, Front & Rear,No information,No information, 3, Unlimited, Not Applicable,Honda Amaze S 1.2 Petrol CVT,No information, Keyless,No information, Digital Display,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt, Co-Driver Only, With Cup Holder,No information, LED, Halogen,,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Petrol, Manual - 5 Gears, 18.6, 651," 1199 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",  i-VTEC, 89 bhp @ 6000 rpm, 110 Nm @ 4800 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7," McPherson Strut, Coil Spring"," Torsion Beam, Coil Spring", Alloy Wheels, 175 / 65 R15, 175 / 65 R15, Steel, 420, 35, 5, 3995, 1695, 1501, 2470, 2, 4, 4 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital,No information, Analogue,," Android Auto (Wired), Apple Car Play (Wired)", Optional, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only,No information, Disc, Drum,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Front & Rear, Driver, Chrome, Silver, Plastic, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector,No information, LED, Dual Tone, Black and Beige, Front and Rear, Optional, Front & Rear, Front & Rear,No information,No information, 3, Unlimited, Not Applicable,Honda Amaze VX 1.2 Petrol MT,No information, Keyless,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,,No information,No information, Tilt, Co-Driver Only, With Cup Holder,No information, LED, LED,No information,,,No information, Reverse Camera with Guidance,No information,No information,No information, Driver,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Petrol," Automatic (CVT) - CVT Gears, Paddle Shift", 18.3, 641," 1199 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",  i-VTEC, 89 bhp @ 6000 rpm, 110 Nm @ 4800 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.7," McPherson Strut, Coil Spring"," Torsion Beam, Coil Spring", Alloy Wheels, 175 / 65 R15, 175 / 65 R15, Steel, 420, 35, 5, 3995, 1695, 1501, 2470, 2, 4, 4 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital,No information, Analogue,," Android Auto (Wired), Apple Car Play (Wired)", Optional, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only,No information, Disc, Drum,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Front & Rear, Driver, Chrome, Silver, Plastic, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector,No information, LED, Dual Tone, Black and Beige, Front and Rear, Optional, Front & Rear, Front & Rear,No information,No information, 3, Unlimited, Not Applicable,Honda Amaze VX 1.2 Petrol CVT,No information, Keyless,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,,No information,No information, Tilt, Co-Driver Only, With Cup Holder,No information, LED, LED,,No information,No information,No information, Reverse Camera with Guidance,No information,No information,, Driver,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Petrol, Manual - 6 Gears, 17.8, 712," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 i-VTEC with VTC, 119 bhp @ 6600 rpm, 145 Nm @ 4300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.3, McPherson Strut with Coil Spring, Torsion Beam with Coil Spring, Steel Rims, 185 / 60 R15, 185 / 60 R15, Steel, 506, 40, 5, 4574, 1748, 1489, 2600, 2, 4, 5 Star (ASEAN NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital,No information, Analogue,," Android Auto (Wired), Apple Car Play (Wired)",, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 3, Ventilated Disc, Drum,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Front & Rear, Driver, Body Coloured,,, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Dual Tone, Beige & Black, Front and Rear,No information, Front & Rear, Front & Rear,No information,No information, 3, Unlimited,No information,Honda New City SV Petrol MT,No information, Keyless,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt & Telescopic, Driver & Co-Driver, With Cup Holder,No information, LED,,,,No information,No information, Reverse Camera with Guidance,No information,No information,, Driver,No information,, 165,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information," Blower, Vents Behind Front Armrest",No information,No information,No information,No information, 2 way manually adjustable (headrest up / down),No information,No information,No information, 2 Way,,,,,,,,,,,,,,,,,,,,
6, Petrol, Manual - 6 Gears, 17.8, 712," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 i-VTEC with VTC, 119 bhp @ 6600 rpm, 145 Nm @ 4300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.3, McPherson Strut with Coil Spring, Torsion Beam with Coil Spring, Alloy Wheels, 185 / 60 R15, 185 / 60 R15, Steel, 506, 40, 5, 4574, 1748, 1489, 2600, 2, 4, 5 Star (ASEAN NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital,No information, Analogue,," Android Auto (Wireless), Apple Car Play (Wireless)",, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 3, Ventilated Disc, Drum,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Front & Rear, Driver, Body Coloured, Chrome,, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Dual Tone, Beige & Black, Front and Rear,No information, Front & Rear, Front & Rear,No information,No information, 3, Unlimited,No information,Honda New City V Petrol MT,No information, Keyless,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt & Telescopic, Driver & Co-Driver, With Cup Holder,No information, LED, Halogen on front,,,No information,No information, Reverse Camera with Guidance,No information,No information, Adaptive, Driver,No information,, 165,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information," Blower, Vents Behind Front Armrest",No information,No information,No information,No information, 2 way manually adjustable (headrest up / down),No information,No information,No information, 2 Way,No information,No information,No information,No information,No information,No information,,,,,,,,,,,,,,
7, Petrol, Manual - 6 Gears, 17.8, 712," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 i-VTEC with VTC, 119 bhp @ 6600 rpm, 145 Nm @ 4300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.3, McPherson Strut with Coil Spring, Torsion Beam with Coil Spring, Alloy Wheels, 185 / 55 R16, 185 / 55 R16, Alloy, 506, 40, 5, 4574, 1748, 1489, 2600, 2, 4,," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital,No information, Analogue,," Android Auto (Wireless), Apple Car Play (Wireless)",No information, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 3, Ventilated Disc, Drum,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Front & Rear, Driver, Body Coloured, Chrome,, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Dual Tone, Beige & Black, Front and Rear,No information, Front & Rear, Front & Rear,No information,No information, 3, Unlimited,No information,Honda New City VX Petrol MT,No information, Keyless,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt & Telescopic, Driver & Co-Driver, With Cup Holder,No information, LED, Halogen on front,,,No information,No information, Reverse Camera with Guidance,No information,No information, Adaptive, Driver,No information,No information, 165,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information," Blower, Vents Behind Front Armrest",No information,No information,No information,No information, 2 way manually adjustable (headrest up / down),No information,No information,No information, 2 Way,No information,No information,No information,No information,No information,No information,No information, Electrically Adjustable,,,,,,,,,,,,
8, Petrol," Automatic (CVT) - CVT Gears, Paddle Shift, Sport Mode", 18.4, 736," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 i-VTEC with VTC, 119 bhp @ 6600 rpm, 145 Nm @ 4300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.3, McPherson Strut with Coil Spring, Torsion Beam with Coil Spring, Alloy Wheels, 185 / 60 R15, 185 / 60 R15, Steel, 506, 40, 5, 4574, 1748, 1489, 2600, 2, 4, 5 Star (ASEAN NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital,No information, Analogue,," Android Auto (Wireless), Apple Car Play (Wireless)",, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Manual - Internal Only, 3, Ventilated Disc, Drum,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Front & Rear, Driver, Body Coloured, Chrome,, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector,No information, LED, Dual Tone, Beige & Black, Front and Rear,No information, Front & Rear, Front & Rear,No information,No information, 3, Unlimited,No information,Honda New City V Petrol CVT,No information, Keyless,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt & Telescopic, Driver & Co-Driver, With Cup Holder,No information, LED, Halogen on front,,No information,No information,No information, Reverse Camera with Guidance,No information,No information, Adaptive, Driver,No information,, 165,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information," Blower, Vents Behind Front Armrest",No information,No information,No information,No information, 2 way manually adjustable (headrest up / down),No information,No information,No information, 2 Way,No information,No information,No information,No information,No information,No information,,,No information,,,,,,,,,,,
9, Petrol, Manual - 6 Gears, 17.8, 712," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 i-VTEC with VTC, 119 bhp @ 6600 rpm, 145 Nm @ 4300 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.3, McPherson Strut with Coil Spring, Torsion Beam with Coil Spring, Alloy Wheels, 185 / 55 R16, 185 / 55 R16, Alloy, 506, 40, 5, 4583, 1748, 1489, 2600, 2, 4,," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital,No information, Analogue,," Android Auto (Wireless), Apple Car Play (Wireless)",No information, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Electronic - Internal Only, 3, Ventilated Disc, Drum,No information,No information, Leather," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", Front & Rear, Bench, Front & Rear, All, Chrome, Chrome,, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED,No information, LED, Dual Tone, Beige & Black, Front and Rear, Footwell Lamps, Front & Rear, Front & Rear,No information,No information, 3, Unlimited,No information,Honda New City ZX Petrol MT,No information, Keyless,No information, Touch-screen Display,No information, 8,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt & Telescopic, Driver & Co-Driver, With Cup Holder,No information, LED, LED,No information,,No information,No information, Reverse Camera with Guidance,No information,No information, Adaptive, All,No information,No information, 165,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information," Blower, Vents Behind Front Armrest",No information,No information,No information,No information, 2 way manually adjustable (headrest up / down),No information,No information,No information, 2 Way,No information,No information,No information,No information,No information,No information,No information, Electrically Adjustable,,No information,No information, Manual,No information,No information,,,,,,
