, Fuel Type, Transmission, Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Seat Belt Warning, Child Lock, Overspeed Warning, Speed Sensing Door Lock, Anti theft Engine immobilizer, Central Locking, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Gear Shift Indicator, Parking Sensors, Clock, Tachometer, Android / Apple Connectivity , Air Conditioner, Heater, Front AC, 12V Power Outlets, Boot Access from the Last Row Seats, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Power Windows, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Boot / Dikki Opener, Headlights, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Cup Holders, Pockets inside Door, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres),NAME, Tyre Pressure Monitoring (TPMS), Integrated Music System, Unit / Display Size, Steering Mounted Controls, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, Steering Adjustment, Rear AC, Vanity Mirrors on Sun Visors, Anti-glare Rear View Mirrors, Window Control: One Touch -Down, Follow me home head Lights, Daytime Running Lights, Pockets in Front Seat-back, Roof Mounted Antenna, Cruise Control Driving Mode, Adjustable Cluster Brightness, Parking Assist, Infotainment Display, Voice Command Support, Electronic Stability Program (ESP), Hill Hold Assist, Rear Glass Defogger, Turn Indicators on ORVM, Automatic Head Lights, Fog Lamps, Wireless Charger, Leather-wrapped Steering, Alternate Fuel, Headlight Height Adjuster, Anchor Points for Child Seat, Push Button Start / Stop, Adjustment Options - Rear Row Seat, Rear Wiper, Cooled Glove Box, Seat Adjustment, Armrest for Rear Seat, Leather-wrapped Gear Knob, Active Gear Display, Mileage - ARAI Reported, Driving Range (km), Ground Clearance (mm), Headlights On Reminder, Driver Armrest, Storage in Driver Armrest, Sunglass Holder, Flashing Emergency Brake Light , Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote Car Light Flashing & Honking Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, GPS & Navigation, WIndow Control: One Touch - Up, Cornering Headlights, Puddle Lights, Ambient or soft Interior Lighting, Sunroof / Moonroof, Traction Control, Turbo / SuperCharger, Remote AC Control Via app, Body Kit, Others, Internal Hard-disk, Brake Assist in Emergency (BA), Lights on Vanity Mirrors, Alexa Compatibility, Split Rear Seat, Chrome Finish Exhaust pipe, Curb Weight (kgs), Blinds - Side Window, Blinds - Rear Windshield, Reading Lamp for Rear Passengers, Doot Sill Plates, Ventilated Seats, Ventilated Seat Type, Minimum Turning Radius, Middle rear three-point seatbelt, Forward Collision Warning , High-beam Assist, Lane Departure Warning, AC for Third Row, Adjustment Options - Third Row Seat, Third Row Seats Type, Split Third Row Seat, Third Row Cup Holders, Electric Motor, Peak Motor Performance, Battery, Battery Charging, Head Rest for Middle Rear Seat, Rub - Strips, Battery Warranty (Years), Hill Descent Control, Differential Lock, Rain-sensing Wipers, Light inside Glove Box, 4x4 or All Wheel Drive, Top Speed, Time for 0-100 kmph Acceleration , Puncture Repair Kit
0, Petrol, Manual - 5 Gears," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Kappa, 82 bhp @ 6000 rpm, 114 Nm @ 4000 rpm, FWD, BS 6, Power assisted (Electric), McPherson Strut, Coupled Torsion Beam Axle, Steel Rims, 165 / 70 R14, 165 / 70 R14, Steel, 260, 37, 5, 3815, 1680, 1520, 2450, 2, 5, 2 Star (Global NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, With Key, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Analogue," Android Auto (No), Apple Car Play (No)", Yes (Manual),No information," Single Zone, Common Fan Speed Control", 1,No information, Disc, Drum,No information,No information, Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front, Bench, Full, Front Only, Black, Painted, Black, Electrically Adjustable, Internal, Halogen, LED, Dual Tone, Black and Grey, Front, Front Only, Front & Rear,No information, 3, 100000,No information,Hyundai Grand i10 Nios Era 1.2 Kappa VTVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Petrol, Manual - 5 Gears," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Kappa, 82 bhp @ 6000 rpm, 114 Nm @ 4000 rpm, FWD, BS 6, Power assisted (Electric), McPherson Strut, Coupled Torsion Beam Axle, Steel Rims, 165 / 70 R14, 165 / 70 R14, Steel, 260, 37, 5, 3815, 1680, 1520, 2450, 2, 5, 2 Star (Global NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Analogue," Android Auto (No), Apple Car Play (No)", Yes (Manual),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front, Bench, Full, Front & Rear, Body Coloured, Painted, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen, LED, Dual Tone, Black and Grey, Front, Front Only, Front & Rear,No information, 3, 100000,No information,Hyundai Grand i10 Nios Magna 1.2 Kappa VTVT,No information,No information, 2 Din,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt," Blower, Vents Behind Front Armrest", Co-Driver Only, Manual - Internal Only, Driver,No information, LED,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Petrol, Manual - 5 Gears," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Kappa, 82 bhp @ 6000 rpm, 114 Nm @ 4000 rpm, FWD, BS 6, Power assisted (Electric), McPherson Strut, Coupled Torsion Beam Axle, Steel Rims, 175 / 60 R15, 175 / 60 R15, Steel, 260, 37, 5, 3815, 1680, 1520, 2450, 2, 5, 2 Star (Global NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Analogue," Android Auto (Yes), Apple Car Play (Yes)", Yes (Manual),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front, Bench, Full, Front & Rear, Body Coloured, Painted, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen Projector, LED, Dual Tone, Black and Grey, Front, Front Only, Front & Rear,No information, 3, 100000,No information,Hyundai Grand i10 Nios Sportz Executive 1.2 Kappa VTVT,No information,No information, 2 Din,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt," Blower, Vents Behind Front Armrest", Co-Driver Only, Manual - Internal Only, Driver,No information, LED,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Petrol, Manual - 5 Gears," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Kappa, 82 bhp @ 6000 rpm, 114 Nm @ 4000 rpm, FWD, BS 6, Power assisted (Electric), McPherson Strut, Coupled Torsion Beam Axle, Steel Rims, 175 / 60 R15, 175 / 60 R15, Steel, 260, 37, 5, 3815, 1680, 1520, 2450, 2, 5, 2 Star (Global NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Analogue," Android Auto (Yes), Apple Car Play (Yes)", Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front, Bench, Full, Front & Rear, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector, LED, Dual Tone, Black and Grey, Front, Front Only, Front & Rear,No information, 3, 100000,No information,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,No information,No information,,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt," Blower, Vents Behind Front Armrest", Co-Driver Only, Manual - Internal Only, Driver,No information, LED,No information,No information,No information,No information, Reverse Camera, Touch-screen Display,No information,No information,No information,No information,No information,No information, Halogen Projector on front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Petrol," AMT - 5 Gears, Manual Override"," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Kappa, 82 bhp @ 6000 rpm, 114 Nm @ 4000 rpm, FWD, BS 6, Power assisted (Electric), McPherson Strut, Coupled Torsion Beam Axle, Steel Rims, 165 / 70 R14, 165 / 70 R14, Steel, 260, 37, 5, 3815, 1680, 1520, 2450, 2, 5, 2 Star (Global NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,, Rear, Digital, Analogue," Android Auto (No), Apple Car Play (No)", Yes (Manual),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front, Bench, Full, Front & Rear, Body Coloured, Painted, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen, LED, Dual Tone, Black and Grey, Front, Front Only, Front & Rear,No information, 3, 100000,No information,Hyundai Grand i10 Nios Magna AMT 1.2 Kappa VTVT,No information,No information, 2 Din,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt," Blower, Vents Behind Front Armrest", Co-Driver Only, Manual - Internal Only, Driver,No information, LED,No information,No information,,,,,,No information,No information,,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Petrol, Manual - 5 Gears," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Kappa, 82 bhp @ 6000 rpm, 114 Nm @ 4000 rpm, FWD, BS 6, Power assisted (Electric), McPherson Strut, Coupled Torsion Beam Axle, Alloy Wheels, 175 / 60 R15, 175 / 60 R15, Steel, 260, 37, 5, 3815, 1680, 1520, 2450, 2, 5, 2 Star (Global NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Analogue," Android Auto (Yes), Apple Car Play (Yes)", Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front, Bench, Full, Front & Rear, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector, LED, Dual Tone, Black and Grey, Front, Front Only, Front & Rear,No information, 3, 100000,No information,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT Dual Tone,No information,No information,,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt," Blower, Vents Behind Front Armrest", Co-Driver Only, Manual - Internal Only, Driver,No information, LED,No information,No information,No information,No information, Reverse Camera, Touch-screen Display,No information,No information,,No information,No information,No information, Halogen Projector on front,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, CNG, Manual - 5 Gears," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Kappa Bi-Fuel, 68 bhp @ 6000 rpm, 95 Nm @ 4000 rpm, FWD, BS 6, Power assisted (Electric), McPherson Strut, Coupled Torsion Beam Axle, Steel Rims, 165 / 70 R14, 165 / 70 R14, Steel, 260, 60, 5, 3815, 1680, 1520, 2450, 2, 5, 2 Star (Global NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Analogue," Android Auto (No), Apple Car Play (No)", Yes (Manual),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front, Bench, Full, Front & Rear, Body Coloured, Painted, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen, LED, Dual Tone, Black and Grey, Front, Front Only, Front & Rear,No information, 3, 100000,No information,Hyundai Grand i10 Nios Magna 1.2 Kappa VTVT CNG,No information,No information, 2 Din,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt," Blower, Vents Behind Front Armrest", Co-Driver Only, Manual - Internal Only, Driver,No information, LED,No information,No information,,,,,,,,,,,,,, Petrol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Petrol," AMT - 5 Gears, Manual Override"," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Kappa, 82 bhp @ 6000 rpm, 114 Nm @ 4000 rpm, FWD, BS 6, Power assisted (Electric), McPherson Strut, Coupled Torsion Beam Axle, Steel Rims, 175 / 60 R15, 175 / 60 R15, Steel, 260, 37, 5, 3815, 1680, 1520, 2450, 2, 5, 2 Star (Global NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,, Rear, Digital, Analogue," Android Auto (Yes), Apple Car Play (Yes)", Yes (Manual),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front, Bench, Full, Front & Rear, Body Coloured, Painted, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen Projector, LED, Dual Tone, Black and Grey, Front, Front Only, Front & Rear,No information, 3, 100000,No information,Hyundai Grand i10 Nios Sportz Executive AMT 1.2 Kappa VTVT,No information,No information, 2 Din,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt," Blower, Vents Behind Front Armrest", Co-Driver Only, Manual - Internal Only, Driver,No information, LED,No information,No information,No information,,,,,No information,No information,,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Petrol," AMT - 5 Gears, Manual Override"," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Kappa, 82 bhp @ 6000 rpm, 114 Nm @ 4000 rpm, FWD, BS 6, Power assisted (Electric), McPherson Strut, Coupled Torsion Beam Axle, Steel Rims, 175 / 60 R15, 175 / 60 R15, Steel, 260, 37, 5, 3815, 1680, 1520, 2450, 2, 5, 2 Star (Global NCAP)," 4 Airbags (Driver, Front Passenger, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,, Rear, Digital, Analogue," Android Auto (Yes), Apple Car Play (Yes)", Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front, Bench, Full, Front & Rear, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector, LED, Dual Tone, Black and Grey, Front, Front Only, Front & Rear,No information, 3, 100000,No information,Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,No information,No information,,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt," Blower, Vents Behind Front Armrest", Co-Driver Only, Manual - Internal Only, Driver,No information, LED,No information,No information,,No information, Reverse Camera, Touch-screen Display,No information,No information,No information,No information,No information,No information, Halogen Projector on front,,,,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, Petrol, Manual - 5 Gears," 1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Kappa, 82 bhp @ 6000 rpm, 114 Nm @ 4000 rpm, FWD, BS 6, Power assisted (Electric), McPherson Strut, Coupled Torsion Beam Axle, Alloy Wheels, 175 / 60 R15, 175 / 60 R15, Steel, 260, 37, 5, 3815, 1680, 1520, 2450, 2, 5, 2 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information, Keyless, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Analogue," Android Auto (Yes), Apple Car Play (Yes)", Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Front & Rear, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, LED Projector, LED, Dual Tone, Black and Grey, Front, Front Only, Front & Rear,No information, 3, 100000,No information,Hyundai Grand i10 Nios Asta 1.2 Kappa VTVT,No information,No information,,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Tilt," Blower, Vents Behind Front Armrest", Co-Driver Only, Manual - Internal Only, Driver,No information, LED,No information,No information,No information,No information, Reverse Camera, Touch-screen Display,No information,No information,No information,No information,No information,No information, Halogen Projector on front,No information,No information,,No information,No information,No information, 2 way manually adjustable (headrest up / down),No information,No information, 2 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
