, Fuel Type, Transmission, Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), No of Seating Rows, No of Doors, Airbags, Seat Belt Warning, Child Lock, Overspeed Warning, Anti theft Engine immobilizer, Type of Instrument Cluster / Dashboard Display, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Gear Shift Indicator, Parking Sensors, Clock, Headlights On Reminder, Tachometer, Android / Apple Connectivity , Steering Adjustment, Air Conditioner, Heater, Front AC, 12V Power Outlets, Boot Access from the Last Row Seats, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Driver Armrest, Headrests, Rear Passenger Seats Type, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Cup Holders, Pockets inside Door, Pockets in Front Seat-back, Body Coloured Bumpers, Body Kit, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres),NAME, Central Locking, Anti-glare Rear View Mirrors, Folding Rear Seat, Power Windows, Speed Sensing Door Lock, Mileage or  Average Fuel Consumption, Distance to Empty, Integrated Music System, Infotainment Display, Steering Mounted Controls, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, Vanity Mirrors on Sun Visors, Rear Wiper, Rear Glass Defogger, Turn Indicators on ORVM, Follow me home head Lights, Sunglass Holder, Roof Mounted Antenna, Rub - Strips, Others, Anchor Points for Child Seat, GPS & Navigation, Adjustment Options - Rear Row Seat, Armrest for Rear Seat, Daytime Running Lights, Fog Lamps, Puddle Lights, Ambient or soft Interior Lighting, Cooled Glove Box, Seat Adjustment, Turbo / SuperCharger, NCAP Rating (Best - 5 Star), Window Control: One Touch -Down, Doot Sill Plates, Head Rest for Middle Rear Seat, Brake Assist in Emergency (BA), Lights on Vanity Mirrors, Sunroof / Moonroof, Electronic Stability Program (ESP), Traction Control, Hill Hold Assist, Parking Assist, Voice Command Support, Push Button Start / Stop, Cruise Control Driving Mode, Split Rear Seat, WIndow Control: One Touch - Up, Rain-sensing Wipers, Automatic Head Lights, Leather-wrapped Steering, Leather-wrapped Gear Knob, Storage in Driver Armrest, CD Player, Middle rear three-point seatbelt, Tyre Pressure Monitoring (TPMS), Light inside Glove Box, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote AC Control Via app, Remote Car Light Flashing & Honking Via app, Remote Sunroof Open/Close Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, Real Time Mileage, Average Speed, Unit / Display Size, Third Row Seats Type, Cornering Headlights, Differential Lock, Hill Descent Control, 4x4 or All Wheel Drive, Rear AC, Flashing Emergency Brake Light , Adjustment Options - Third Row Seat, Chrome Finish Exhaust pipe, Alexa Compatibility, Reading Lamp for Rear Passengers, Wireless Charger, AC for Third Row, Split Third Row Seat, Third Row Cup Holders, Time for 0-100 kmph Acceleration , Forward Collision Warning , Automatic Emergency Braking, High-beam Assist, Lane Departure Warning, Mileage - ARAI Reported, Driving Range (km), Internal Hard-disk, Electric Motor, Peak Motor Performance, Battery, Battery Warranty (Years), Top Speed
0, Petrol, Manual - 5 Gears," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 L mFALCON G80, 82 bhp @ 5500 rpm, 115 Nm @ 3500 rpm, FWD, BS 6, Power assisted (Electric), 5.05," Independent McPherson Strut with Dual Path Mounts, Coil Spring and Hydraulic Gas Charged Shock Absorber", Semi-Independent Twist Beam with Coil Spring and Hydraulic Gas Charged Shock Absorber, Steel Rims, 185 / 65 R14, 185 / 65 R14, Steel, 243, 35, 6, 3700, 1735, 1655, 2385, 170, 2, 5," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information, Common Fan Speed Control, 1,No information, Disc, Drum,No information,No information, Vinyl," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)",No information, Front & Rear, Bench, Black, Painted, Black, Internally Adjustable, Internal, Halogen,No information, Halogen, Single Tone, Grey, Centre, Front Only, Front & Rear,No information,No information, Cladding - Black/Grey, 3, 100000,No information,Mahindra KUV100 NXT K2 Plus 6 STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Petrol, Manual - 5 Gears," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 L mFALCON G80, 82 bhp @ 5500 rpm, 115 Nm @ 3500 rpm, FWD, BS 6, Power assisted (Electric), 5.05," Independent McPherson Strut with Dual Path Mounts, Coil Spring and Hydraulic Gas Charged Shock Absorber", Semi-Independent Twist Beam with Coil Spring and Hydraulic Gas Charged Shock Absorber, Steel Rims, 185 / 65 R14, 185 / 65 R14, Steel, 243, 35, 6, 3700, 1735, 1655, 2385, 170, 2, 5," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information, Common Fan Speed Control, 1,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)",No information, Front & Rear, Bench, Body Coloured, Painted, Black, Internally Adjustable, Internal, Halogen,No information, Halogen, Single Tone, Grey, Centre, Front Only, Front & Rear,No information,No information, Cladding - Black/Grey, 3, 100000,No information,Mahindra KUV100 NXT K4 Plus 6 STR, With Key, Manual - Internal Only, Full, Front & Rear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Petrol, Manual - 5 Gears," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 L mFALCON G80, 82 bhp @ 5500 rpm, 115 Nm @ 3500 rpm, FWD, BS 6, Power assisted (Electric), 5.05," Independent McPherson Strut with Dual Path Mounts, Coil Spring and Hydraulic Gas Charged Shock Absorber", Semi-Independent Twist Beam with Coil Spring and Hydraulic Gas Charged Shock Absorber, Steel Rims, 185 / 60 R15, 185 / 60 R15, Steel, 243, 35, 6, 3700, 1735, 1655, 2385, 170, 2, 5," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information, Common Fan Speed Control, 1,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)",No information, Front & Rear, Bench, Body Coloured, Painted, Black, Electrically Adjustable, Internal, Halogen,No information, Halogen, Single Tone, Grey, Centre, Front Only, Front & Rear,No information,No information, Cladding - Black/Grey, 3, 100000,No information,Mahindra KUV100 NXT K6 Plus 6 STR, Remote, Manual - Internal Only, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information, Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Petrol, Manual - 5 Gears," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 L mFALCON G80, 82 bhp @ 5500 rpm, 115 Nm @ 3500 rpm, FWD, BS 6, Power assisted (Electric), 5.05," Independent McPherson Strut with Dual Path Mounts, Coil Spring and Hydraulic Gas Charged Shock Absorber", Semi-Independent Twist Beam with Coil Spring and Hydraulic Gas Charged Shock Absorber, Alloy Wheels, 185 / 60 R15, 185 / 60 R15, Steel, 243, 35, 6, 3700, 1735, 1655, 2385, 170, 2, 5," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information, Common Fan Speed Control, 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)",No information, Front & Rear, Bench, Body Coloured, Painted, Black, Electrically Adjustable & Retractable, Internal with Remote, Halogen,No information, Halogen, Single Tone, Black, Centre, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, 3, 100000,No information,Mahindra KUV100 NXT K8 6 STR, Remote, Manual - Internal Only, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information, Black," Regenerative Braking, Idle Start/Stop",No information,No information, 2 way manually adjustable (headrest up / down), With Cup Holder, LED, Halogen on front,No information,No information,No information, 2 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Petrol, Manual - 5 Gears," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 L mFALCON G80, 82 bhp @ 5500 rpm, 115 Nm @ 3500 rpm, FWD, BS 6, Power assisted (Electric), 5.05," Independent McPherson Strut with Dual Path Mounts, Coil Spring and Hydraulic Gas Charged Shock Absorber", Semi-Independent Twist Beam with Coil Spring and Hydraulic Gas Charged Shock Absorber, Alloy Wheels, 185 / 60 R15, 185 / 60 R15, Steel, 243, 35, 6, 3700, 1735, 1655, 2385, 170, 2, 5," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information, Common Fan Speed Control, 2,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)",No information, Front & Rear, Bench, Body Coloured, Painted, Black, Electrically Adjustable & Retractable, Internal with Remote, Halogen,No information, Halogen, Single Tone, Black, Centre, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, 3, 100000,No information,Mahindra KUV100 NXT K8 6 STR Dual Tone, Remote, Manual - Internal Only, Full, Front & Rear,No information,No information,No information,No information, Touch-screen Display,No information, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information, Black," Regenerative Braking, Idle Start/Stop",No information,No information, 2 way manually adjustable (headrest up / down), With Cup Holder, LED, Halogen on front,No information,No information,No information, 2 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Petrol, Manual - 6 Gears," 1197 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Turbo Petrol, 109 bhp @ 5000 rpm, 200 Nm @ 2000 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.3, MacPherson Strut with anti-roll bar, Twist beam suspension with coil spring, Steel Rims, 205 / 65 R16, 205 / 65 R16, Steel, 257, 42, 5, 3995, 1821, 1627, 2600, 180, 2, 5," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,,No information, Dynamic, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Disc,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",, Front, Bench, Body Coloured, Black, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, LED, Dual Tone, Black and Beige, Centre, Front Only, Front & Rear,No information,No information, Cladding - Black/Grey, 3, Unlimited,No information,Mahindra XUV300 W4 1.2 Petrol, With Key, Manual - Internal Only, Full, Front & Rear,No information,No information,No information,,,,,,,,,,,,,,,,,,,,No information,, 2 way manually adjustable (headrest up / down),,,,,,, 2 Way, Turbocharged, 5 Star (Global NCAP), Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, Diesel, Manual - 6 Gears," 1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 Turbo Diesel, 115 bhp @ 3750 rpm, 300 Nm @ 1500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.3, MacPherson Strut with anti-roll bar, Twist beam suspension with coil spring, Steel Rims, 205 / 65 R16, 205 / 65 R16, Steel, 257, 42, 5, 3995, 1821, 1627, 2600, 180, 2, 5," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,,No information, Dynamic, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Disc,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",, Front, Bench, Body Coloured, Black, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, LED, Dual Tone, Black and Beige, Centre, Front Only, Front & Rear,No information,No information, Cladding - Black/Grey, 3, Unlimited,No information,Mahindra XUV300 W4 1.5 Diesel, With Key, Manual - Internal Only, Full, Front & Rear,No information,No information,No information,,,,,,,,,,,,,,,,,,,,No information,, 2 way manually adjustable (headrest up / down),,,,,,, 2 Way, Turbocharged, 5 Star (Global NCAP), Driver,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Petrol, Manual - 6 Gears," 1197 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Turbo Petrol, 109 bhp @ 5000 rpm, 200 Nm @ 2000 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.3, MacPherson Strut with anti-roll bar, Twist beam suspension with coil spring, Steel Rims, 205 / 65 R16, 205 / 65 R16, Steel, 257, 42, 5, 3995, 1821, 1627, 2600, 180, 2, 5," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,,No information, Dynamic, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Disc,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",, Front & Rear, Bench, Body Coloured, Black, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, LED, Dual Tone, Black and Beige, Front and Rear, Front Only, Front & Rear,No information,No information, Cladding - Black/Grey, 3, Unlimited,No information,Mahindra XUV300 W6 1.2 Petrol, Remote, Manual - Internal Only, Full, Front & Rear,No information,No information,No information,No information, TFT Display,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Driver & Co-Driver,,,,No information,No information,No information, Black,,No information,No information, 2 way manually adjustable (headrest up / down),,,,,,, 2 Way, Turbocharged, 5 Star (Global NCAP), Driver,No information,No information,No information, Co-Driver Only, Electrically Adjustable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Petrol," Automatic (AMT) - 6 Gears, Manual Override"," 1197 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.2 Turbo Petrol, 109 bhp @ 5000 rpm, 200 Nm @ 2000 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.3, MacPherson Strut with anti-roll bar, Twist beam suspension with coil spring, Steel Rims, 205 / 65 R16, 205 / 65 R16, Steel, 257, 42, 5, 3995, 1821, 1627, 2600, 180, 2, 5," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,,No information,, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Disc,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",, Front & Rear, Bench, Body Coloured, Black, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, LED, Dual Tone, Black and Beige, Front and Rear, Front Only, Front & Rear,No information,No information, Cladding - Black/Grey, 3, Unlimited,No information,Mahindra XUV300 W6 1.2 Petrol AMT, Remote, Manual - Internal Only, Full, Front & Rear,No information,No information,No information,No information, TFT Display,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Driver & Co-Driver,,,,No information,No information,No information, Black,,No information,No information, 2 way manually adjustable (headrest up / down),,,,,,, 2 Way, Turbocharged, 5 Star (Global NCAP), Driver,No information,No information,No information, Co-Driver Only, Electrically Adjustable,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, Diesel, Manual - 6 Gears," 1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 Turbo Diesel, 115 bhp @ 3750 rpm, 300 Nm @ 1500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5.3, MacPherson Strut with anti-roll bar, Twist beam suspension with coil spring, Steel Rims, 205 / 65 R16, 205 / 65 R16, Steel, 257, 42, 5, 3995, 1821, 1627, 2600, 180, 2, 5," 2 Airbags (Driver, Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information,No information,,No information, Dynamic, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Disc,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",, Front & Rear, Bench, Body Coloured, Black, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, LED, Dual Tone, Black and Beige, Front and Rear, Front Only, Front & Rear,No information,No information, Cladding - Black/Grey, 3, Unlimited,No information,Mahindra XUV300 W6 1.5 Diesel, Remote, Manual - Internal Only, Full, Front & Rear,No information,No information,No information,No information, TFT Display,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information,No information, Driver & Co-Driver,,,,No information,No information,No information, Black,,No information,No information, 2 way manually adjustable (headrest up / down),,,,,,, 2 Way, Turbocharged, 5 Star (Global NCAP), Driver,No information,No information,No information, Co-Driver Only, Electrically Adjustable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
