, Fuel Type, Transmission, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, Airbags, Seat Belt Warning, Overspeed Warning, Anti theft Engine immobilizer, Type of Instrument Cluster / Dashboard Display, Trip Meter, Low Fuel Warning, Parking Sensors, Headlights On Reminder, Tachometer, Android / Apple Connectivity , Boot Access from the Last Row Seats, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Brake Assist in Emergency (BA), Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Cup Holders, Pockets inside Door, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres),NAME, Child Lock, Clock, Air Conditioner, Heater, Front AC, Power Windows, Pockets in Front Seat-back, Body Coloured Bumpers, Central Locking, Integrated Music System, Unit / Display Size, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, 12V Power Outlets, Roof Mounted Antenna, Rub - Strips, Infotainment Display, GPS & Navigation, Alternate Fuel, NCAP Rating (Best - 5 Star), Middle rear three-point seatbelt, Vanity Mirrors on Sun Visors, Electronic Stability Program (ESP), Speed Sensing Door Lock, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Door Not Closed Warning, Active Gear Display, Voice Command Support, Steering Mounted Controls, Gear Shift Indicator, Others, Body Kit, Hill Hold Assist, Third Row Seats Type, Anti-glare Rear View Mirrors, Split Rear Seat, Window Control: One Touch -Down, Steering Adjustment, Rear Wiper, Rear Glass Defogger, Turn Indicators on ORVM, Push Button Start / Stop, Fog Lamps, Anchor Points for Child Seat, Adjustable Cluster Brightness, CD Player, DVD Playback, Adjustment Options - Rear Row Seat, Seat Adjustment, Parking Assist, Daytime Running Lights, Puddle Lights, WIndow Control: One Touch - Up, Leather-wrapped Steering, Cruise Control Driving Mode, Automatic Head Lights, Follow me home head Lights, Rear AC, Armrest for Rear Seat, Reading Lamp for Rear Passengers, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote Car Light Flashing & Honking Via app, Emergency Call, Over The Air (OTA) Updates, Alexa Compatibility, Geo-Fence, Driver Armrest, Storage in Driver Armrest, Heads Up Display (HUD), Lights on Vanity Mirrors, Traction Control, Chrome Finish Exhaust pipe, Turbo / SuperCharger, Flashing Emergency Brake Light , Wireless Charger, Light inside Glove Box, Remote AC Control Via app, Sunglass Holder, Sunroof / Moonroof, Leather-wrapped Gear Knob, Ambient or soft Interior Lighting, Cooled Glove Box, Battery, Adjustment Options - Third Row Seat, Split Third Row Seat, Third Row Cup Holders, Blinds - Rear Windshield, Head Rest for Middle Rear Seat, 4x4 or All Wheel Drive, Hill Descent Control, Differential Lock, Electric Motor, Peak Motor Performance, Battery Warranty (Years), Tyre Pressure Monitoring (TPMS), Ventilated Seats, Ventilated Seat Type, Limited Slip Differential (LSD)
0, Petrol, Manual - 5 Gears, 22, 772," 796 cc, 3 Cylinders Inline, 4 Valves/Cylinder, SOHC", F8D, 47 bhp @ 6000 rpm, 69 Nm @ 3500 rpm, FWD, BS 6, Manual, 4.6, Mac Pherson Strut, 3-Link Rigid Axle Suspension, Steel Rims, 145 / 80 R12, 145 / 80 R12, Steel, 177, 35, 5, 3445, 1515, 1475, 2360, 160, 732, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information,No information," Android Auto (No), Apple Car Play (No)",No information, Disc, Drum,No information,No information,No information, Vinyl," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front, Bench, Full, Body Coloured, Unpainted, Black, Externally Adjustable, Internal, Halogen,No information, Halogen, Dual Tone, Black and Beige, Front, Front & Rear, Front, 2, 40000,No information,Maruti Suzuki Alto 800 STD (O),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Petrol, Manual - 5 Gears, 22, 772," 796 cc, 3 Cylinders Inline, 4 Valves/Cylinder, SOHC", F8D, 47 bhp @ 6000 rpm, 69 Nm @ 3500 rpm, FWD, BS 6, Power assisted (Electric), 4.6, Mac Pherson Strut, 3-Link Rigid Axle Suspension, Steel Rims, 145 / 80 R12, 145 / 80 R12, Steel, 177, 35, 5, 3445, 1515, 1475, 2360, 160, 757, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information,No information," Android Auto (No), Apple Car Play (No)",No information, Disc, Drum,No information,No information,No information, Vinyl + Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Body Coloured, Silver, Body Coloured, Externally Adjustable, Internal with Remote, Halogen,No information, Halogen, Dual Tone, Black and Beige, Front, Front & Rear, Front, 2, 40000,No information,Maruti Suzuki Alto 800 LXi (O),No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front Only,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Petrol, Manual - 5 Gears, 22, 772," 796 cc, 3 Cylinders Inline, 4 Valves/Cylinder, SOHC", F8D, 47 bhp @ 6000 rpm, 69 Nm @ 3500 rpm, FWD, BS 6, Power assisted (Electric), 4.6, Mac Pherson Strut, 3-Link Rigid Axle Suspension, Steel Rims, 145 / 80 R12, 145 / 80 R12, Steel, 177, 35, 5, 3445, 1515, 1475, 2360, 160, 762, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information,No information," Android Auto (No), Apple Car Play (No)",No information, Disc, Drum,No information,No information,No information, Vinyl + Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Body Coloured, Silver, Body Coloured, Internally Adjustable, Internal with Remote, Halogen,No information, Halogen, Dual Tone, Black and Beige, Front, Front & Rear, Front, 2, 40000,No information,Maruti Suzuki Alto 800 VXi,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front Only,No information,No information, Remote,No information, 2 Din, 2,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Petrol, Manual - 5 Gears, 22, 772," 796 cc, 3 Cylinders Inline, 4 Valves/Cylinder, SOHC", F8D, 47 bhp @ 6000 rpm, 69 Nm @ 3500 rpm, FWD, BS 6, Power assisted (Electric), 4.6, Mac Pherson Strut, 3-Link Rigid Axle Suspension, Steel Rims, 145 / 80 R12, 145 / 80 R12, Steel, 177, 35, 5, 3445, 1515, 1475, 2360, 160, 762, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information,No information," Android Auto (Yes), Apple Car Play (Yes)",No information, Disc, Drum,No information,No information,No information, Vinyl + Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Body Coloured, Silver, Body Coloured, Internally Adjustable, Internal with Remote, Halogen,No information, Halogen, Dual Tone, Black and Beige, Front, Front & Rear, Front, 2, 40000,No information,Maruti Suzuki Alto 800 Vxi Plus,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front Only,No information,No information, Remote,No information,, 2,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Black, Touch-screen Display,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, CNG, Manual - 5 Gears, 31.5,," 796 cc, 3 Cylinders Inline, 4 Valves/Cylinder, SOHC", F8D, 40 bhp @ 6000 rpm, 60 Nm @ 3500 rpm, FWD, BS 6, Power assisted (Electric), 4.6, Mac Pherson Strut, 3-Link Rigid Axle Suspension, Steel Rims, 145 / 80 R12, 145 / 80 R12, Steel, 177, 60, 4, 3445, 1515, 1475, 2360, 160, 850, 2, 5," 2 Airbags (Driver, Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital , Electronic 2 Trips,No information, Rear,No information,No information," Android Auto (No), Apple Car Play (No)",No information, Disc, Drum,No information,No information,No information, Vinyl + Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Body Coloured, Silver, Body Coloured, Externally Adjustable, Internal with Remote, Halogen,No information, Halogen, Dual Tone, Black and Beige, Front, Front & Rear, Front, 2, 40000,No information,Maruti Suzuki Alto 800 LXi (O) CNG,No information, Digital, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front Only,No information,No information,,,,,,,,,,,,,,,, Petrol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Petrol, Manual - 5 Gears,,," 998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, SOHC", K10C , 66 bhp @ 5500 rpm, 89 Nm @ 3500 rpm, FWD, BS6 Phase 2, Manual, 4.5, Mac Pherson Strut with Coil Spring, Torsion Beam with Coil Spring, Steel Rims, 145 / 80 R13, 145 / 80 R13, Steel, 214, 27, 5, 3530, 1490, 1520, 2380,,, 2, 5," 2 Airbags (Driver, Front Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, 2 Trips,, Rear,, Digital," Android Auto (No), Apple Car Play (No)",, Disc, Drum,No information,No information,, Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench,, Black, Black, Black, Externally Adjustable, Internal with Key, Halogen,, Halogen, Dual Tone, Black and Beige, Front, Front Only,, 2, 40000, Not Applicable,Maruti Suzuki Alto K10 Std,No information,,,,,,No information,,,,,,,,,,,, 1,,,,,, 2 Star (Global NCAP),No information, Driver & Co-Driver,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, Petrol, Manual - 5 Gears,,," 998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, SOHC", K10C , 66 bhp @ 5500 rpm, 89 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.5, Mac Pherson Strut with Coil Spring, Torsion Beam with Coil Spring, Steel Rims, 145 / 80 R13, 145 / 80 R13, Steel, 214, 27, 5, 3530, 1490, 1520, 2380,,, 2, 5," 2 Airbags (Driver, Front Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, 2 Trips,, Rear,, Digital," Android Auto (No), Apple Car Play (No)",, Disc, Drum,No information,No information,, Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench,, Black, Black, Black, Externally Adjustable, Internal with Key, Halogen,, Halogen, Dual Tone, Black and Beige, Front, Front Only,, 2, 40000, Not Applicable,Maruti Suzuki Alto K10 LXi,No information,, Yes (Manual),No information," Single Zone, Common Fan Speed Control",,No information,No information,,,,,,,,,,, 1,,,,,, 2 Star (Global NCAP),No information, Driver & Co-Driver,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Petrol, Manual - 5 Gears,,," 998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, SOHC", K10C , 66 bhp @ 5500 rpm, 89 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.5, Mac Pherson Strut with Coil Spring, Torsion Beam with Coil Spring, Steel Rims, 145 / 80 R13, 145 / 80 R13, Steel, 214, 27, 5, 3530, 1490, 1520, 2380,,, 2, 5," 2 Airbags (Driver, Front Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, 2 Trips,No information, Rear,No information, Digital," Android Auto (No), Apple Car Play (No)",, Disc, Drum,No information,No information,, Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench,, Body Coloured, Black, Black, Internally Adjustable, Internal with Key, Halogen,, Halogen, Dual Tone, Black and Beige, Front, Front Only,, 2, 40000, Not Applicable,Maruti Suzuki Alto K10 VXi,No information,, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front Only,No information,No information, Keyless,, 2 Din, 2,No information, Phone & Audio Streaming,No information,No information,,, 1,No information,,,,, 2 Star (Global NCAP),No information, Driver & Co-Driver,No information,No information,No information,No information,No information,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Petrol, Manual - 5 Gears,,," 998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, SOHC", K10C , 66 bhp @ 5500 rpm, 89 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.5, Mac Pherson Strut with Coil Spring, Torsion Beam with Coil Spring, Steel Rims, 145 / 80 R13, 145 / 80 R13, Steel, 214, 27, 5, 3530, 1490, 1520, 2380,,, 2, 5," 2 Airbags (Driver, Front Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, 2 Trips,No information, Rear,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)",, Disc, Drum,No information,No information,, Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench,, Body Coloured, Silver, Black, Internally Adjustable, Internal with Key, Halogen,, Halogen, Dual Tone, Black and Beige, Front, Front Only,, 2, 40000, Not Applicable,Maruti Suzuki Alto K10 VXi Plus,No information,, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front Only,No information,No information, Keyless,,, 4,No information, Phone & Audio Streaming,No information,No information,,, 1,No information,, Touch-screen Display,No information,, 2 Star (Global NCAP),No information, Driver & Co-Driver,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, Petrol," Automatic (AMT) - 5 Gears, Manual Override",,," 998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, SOHC", K10C , 66 bhp @ 5500 rpm, 89 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.5, Mac Pherson Strut with Coil Spring, Torsion Beam with Coil Spring, Steel Rims, 145 / 80 R13, 145 / 80 R13, Steel, 214, 27, 5, 3530, 1490, 1520, 2380,,, 2, 5," 2 Airbags (Driver, Front Passenger)",No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, 2 Trips,No information, Rear,No information, Digital," Android Auto (No), Apple Car Play (No)",, Disc, Drum,No information,No information,, Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench,, Body Coloured, Black, Black, Internally Adjustable, Internal with Key, Halogen,, Halogen, Dual Tone, Black and Beige, Front, Front Only,, 2, 40000, Not Applicable,Maruti Suzuki Alto K10 VXi AGS,No information,, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Front Only,No information,No information, Keyless,, 2 Din, 2,No information, Phone & Audio Streaming,No information,No information,,, 1,No information,,,,, 2 Star (Global NCAP),No information, Driver & Co-Driver,No information,No information,No information,No information,No information,No information,No information,,,,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
