, Fuel Type, Transmission, Top Speed, Time for 0-100 kmph Acceleration , 4x4 or All Wheel Drive, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Turbo / SuperCharger, Drivetrain, Others, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Automatic Emergency Braking, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Speed Sensing Door Lock, Anti theft Engine immobilizer, Middle rear three-point seatbelt, Flashing Emergency Brake Light , Lane Departure Warning, Central Locking, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Tyre Pressure Monitoring (TPMS), Gear Shift Indicator, Parking Sensors, Parking Assist, Clock, Headlights On Reminder, Tachometer, Integrated Music System, Infotainment Display, Voice Command Support, Android / Apple Connectivity , Steering Mounted Controls, Wireless Charger, GPS & Navigation, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, Cruise Control Driving Mode, Steering Adjustment, Air Conditioner, Heater, Front AC, Rear AC, Vanity Mirrors on Sun Visors, Anti-glare Rear View Mirrors, 12V Power Outlets, Boot Access from the Last Row Seats, Head Rest for Middle Rear Seat, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Brake Assist in Emergency (BA), Electronic Stability Program (ESP), Traction Control, Hill Hold Assist, Hill Descent Control, Limited Slip Differential (LSD), Differential Lock, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Adjustment Options - Rear Row Seat, Driver Armrest, Armrest for Rear Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Split Rear Seat, Power Windows, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Rain-sensing Wipers, Rear Wiper, Rear Glass Defogger, Exterior Door Handles, Interior Door Handles, Blinds - Side Window, Doot Sill Plates, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Turn Indicators on ORVM, Boot / Dikki Opener, Headlights, Automatic Head Lights, Headlight Height Adjuster, Follow me home head Lights, Daytime Running Lights, Fog Lamps, Tail Light, Puddle Lights, Interiors, Leather-wrapped Steering, Leather-wrapped Gear Knob, Interior Colour(s), Lights inside Cabin, Ambient or soft Interior Lighting, Cup Holders, Cooled Glove Box, Light inside Glove Box, Storage in Driver Armrest, Pockets inside Door, Pockets in Front Seat-back, Lights on Vanity Mirrors, Reading Lamp for Rear Passengers, Sunroof / Moonroof, Chrome Finish Exhaust pipe, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres), Seat Adjustment,NAME, Ground Clearance (mm), Forward Collision Warning , High-beam Assist, Heads Up Display (HUD), Unit / Display Size, CD Player, Ride Height Adjustment, Ventilated Seats, Ventilated Seat Type, Blinds - Rear Windshield, Sunglass Holder, Body Kit, Peak Engine Performance, Electric Motor, Peak Motor Performance, Battery, Puncture Repair Kit, Internal Hard-disk, DVD Playback, Cornering Headlights, Four Wheel Steering, Battery Charging, Push Button Start / Stop, Battery Warranty (Years), Performance on Alternate Fuel, Roof Mounted Antenna, Seat Base Sliding, Alternate Fuel
0, Petrol," Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode", 232, 6.4, Torque-On-Demand, 11.4, 747," 1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L R4 Turbocharged I4, 241 bhp @ 5000 rpm, 370 Nm @ 1600 rpm, Turbocharged, AWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.9, Fully Independent Double Wishbone, Self-tracking Trapezoidal-link, Alloy Wheels, 235 / 55 R19, 255 / 50 R19, Space Saver, 458, 65, 5, 4726, 1922, 1621, 2807, 1845, 2, 5, 5 Star (Euro NCAP)," 8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information,No information, Remote with Boot Opener, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Yes), Apple Car Play (Yes)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Three Zone),No information," Two Zones, Individual Fan Speed Controls"," Separate Zone, Vents Behind Front Armrest, Common Fan Speed Control", Driver & Co-Driver, Electronic - All, 2,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,No information,No information, Electronic, Leather," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down) + 4 way manually adjustable (headrest up / down, headrest forward / back)"," 10 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down, headrest forward / back)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Full, 40:20:40 split, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Rear - Manual, Optional , Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Agate Grey", Front and Rear,No information, Front & Rear,No information,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information, Optional,No information,No information, 3, 60000,No information, 2 Way,Porsche Macan Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Petrol," Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode", 259, 4.8, Torque-On-Demand, 10.2, 663," 2894 cc, 6 Cylinders Inline, 4 Valves/Cylinder, DOHC", 3.0L Twin-turbocharged V6, 375 bhp @ 5200 rpm, 520 Nm @ 1850 rpm, Twin Turbo, AWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.9, Fully Independent Double Wishbone, Self-tracking Trapezoidal-link, Alloy Wheels, 265 / 45 R20, 295 / 40 R20, Space Saver, 458, 65, 5, 4726, 1927, 1624, 2807, 1930, 2, 5, 5 Star (Euro NCAP)," 8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information,No information, Remote with Boot Opener, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Yes), Apple Car Play (Yes)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Three Zone),No information," Two Zones, Individual Fan Speed Controls"," Separate Zone, Vents Behind Front Armrest, Common Fan Speed Control", Driver & Co-Driver, Electronic - All, 2,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,No information,No information, Electronic, Leather," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down) + 4 way manually adjustable (headrest up / down, headrest forward / back)"," 10 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down, headrest forward / back)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Full, 40:20:40 split, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Rear - Manual, Optional , Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Agate Grey", Front and Rear,No information, Front & Rear,No information,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information, Optional,No information,No information, 3, 60000,No information, 2 Way,Porsche Macan S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Petrol," Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode", 272, 4.5, Torque-On-Demand, 10.1, 758," 2894 cc, 6 Cylinders Inline, 4 Valves/Cylinder, DOHC", 3.0L Twin-turbocharged V6, 434 bhp @ 5700 rpm, 550 Nm @ 1900 rpm, Twin Turbo, AWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.9, Fully Independent Double Wishbone with Air Springs, Self-tracking Trapezoidal-link with Air Springs, Alloy Wheels, 265 / 40 R21, 295 / 35 R21, Space Saver, 458, 75, 5, 4726, 1927, 1596, 2807, 1960, 2, 5, 5 Star (Euro NCAP)," 8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information,No information, Remote with Boot Opener, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Yes), Apple Car Play (Yes)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Three Zone),No information," Two Zones, Individual Fan Speed Controls"," Separate Zone, Vents Behind Front Armrest, Common Fan Speed Control", Driver & Co-Driver, Electronic - All, 2,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,No information,No information, Electronic, Leather," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down) + 4 way manually adjustable (headrest up / down, headrest forward / back)"," 10 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down, headrest forward / back)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Full, 40:20:40 split, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Rear - Manual, Optional , Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Agate Grey", Front and Rear,No information, Front & Rear,No information,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information, Optional,No information,No information, 3, 60000,No information, 2 Way,Porsche Macan GTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 245, 6.2, Full-time, 10.8, 815," 2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 3.0L Turbocharged Petrol V6, 335 bhp @ 5300 rpm, 450 Nm @ 1340 rpm, Turbocharged, AWD,  Idle Start/Stop, BS 6, Power assisted (Hydraulic),, Fully independent extra-large format double wishbone, fully independent multi-link suspension, Alloy Wheels, 255 / 55 R19, 275 / 50 R19, Alloy, 645, 75, 5, 4918, 1983, 1696, 2895, 2295, 2, 5, 5 Star (Euro NCAP)," 9 Airbags (Driver, Passenger, 2 Curtain, Driver Knee, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Remote, Digital,No information,No information,No information,No information, Electronic 1 Trip,No information,No information,No information,No information,No information,No information, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information, Optional,, 6+,No information, Phone,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All,No information,No information,No information, Disc, Disc,No information,No information,No information,No information,No information,No information,No information,No information, Centre, Leather,,,,No information,No information, Front & Rear, Captain Seats,,, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Front and Rear Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,, Internal with Remote, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Slate Grey", Front and Rear, Multi-colour, Front Only,,,No information,,No information, Co-Driver Only,No information, Electrically Adjustable,No information,No information, 5, Unlimited,No information,,Porsche Cayenne Base, 210,No information,No information,No information, 2 Din,No information,No information, All, Heated and cooled, Electric,No information,No information,,,,,,,,,,,,,,,,
4, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 245, 6.2, Full-time, 10.8, 815," 2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 3.0L Turbocharged Petrol V6, 335 bhp @ 5300 rpm, 450 Nm @ 1340 rpm, Turbocharged, AWD,  Idle Start/Stop, BS 6, Power assisted (Hydraulic),, Fully independent extra-large format double wishbone, fully independent multi-link suspension, Alloy Wheels, 255 / 55 R21, 275 / 50 R21, Alloy, 645, 75, 5, 4918, 1983, 1696, 2895, 2295, 2, 5, 5 Star (Euro NCAP)," 9 Airbags (Driver, Passenger, 2 Curtain, Driver Knee, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Remote, Digital,No information,No information,No information,No information, Electronic 1 Trip,No information,No information,No information,No information,No information,No information, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information, Optional,, 6+,No information, Phone,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All,No information,No information,No information, Disc, Disc,No information,No information,No information,No information,No information,No information,No information,No information, Centre, Leather,,,,No information,No information, Front & Rear, Captain Seats,,, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Front and Rear Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,, Internal with Remote, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Slate Grey", Front and Rear, Multi-colour, Front Only,,,No information,,No information, Co-Driver Only,No information, Electrically Adjustable,No information,No information, 5, Unlimited,No information,,Porsche Cayenne Platinum Edition, 210,No information,No information,No information, 2 Din,No information,No information, All, Heated and cooled, Electric,No information,No information,,,,,,,,,,,,,,,,
5, Hybrid (Electric + Petrol)," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 253, 5, Full-time, 41.6, 3125," 2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 3.0 L Turbocharged V6 + Electric Motor, 335 bhp @ 5300 rpm, 450 Nm @ 1340 rpm, Turbocharged, AWD," Regenerative Braking, Idle Start/Stop, Pure Electric Driving Mode", BS 6, Power assisted (Hydraulic),, Fully independent extra-large format double wishbone, fully independent multi-link suspension, Alloy Wheels, 255 / 55 R19, 275 / 50 R19, Alloy, 645, 75, 5, 4918, 1983, 1696, 2895, 2295, 2, 5, 5 Star (Euro NCAP)," 9 Airbags (Driver, Passenger, 2 Curtain, Driver Knee, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Remote, Digital,No information,No information,No information,No information, Electronic 1 Trip,No information,No information,No information,No information,No information,No information, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information, Optional,, 6+,No information, Phone,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All,No information,No information,No information, Disc, Disc,No information,No information,No information,No information,No information,No information,No information,No information, Centre, Leather,,,,No information,No information, Front & Rear, Captain Seats,,, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Front and Rear Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,, Internal with Remote, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Slate Grey", Front and Rear, Multi-colour, Front Only,,,No information,,No information, Co-Driver Only,No information, Electrically Adjustable,No information,No information, 5, Unlimited,No information,,Porsche Cayenne E-Hybrid, 210,No information,No information,No information, 2 Din,No information,No information, All, Heated and cooled, Electric,No information,No information," 335 bhp @ 5300 rpm, 450 Nm @ 1340 rpm", 1 Permanent magnet synchronous Placed At Integrated with Transmission," 134 bhp @ 2800 rpm, 400 Nm"," 17.9 kWh, Lithium Ion,Battery Placed In Boot",,,,,,,,,,,,
6, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 270, 4.8, Full-time, 8.9, 804," 3996 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 4.0L Twin-turbocharged Petrol V8, 453 bhp @ 6000 rpm, 620 Nm @ 1800 rpm, Twin Turbo, AWD,  Idle Start/Stop, BS 6, Power assisted (Hydraulic),, Fully independent extra-large format double wishbone, fully independent multi-link suspension, Alloy Wheels, 285 / 40 R21, 315 / 35 R21, Alloy, 656, 90, 5, 4929, 1983, 1676, 2895, 2295, 2, 5, 5 Star (Euro NCAP)," 9 Airbags (Driver, Passenger, 2 Curtain, Driver Knee, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Remote, Digital,No information,No information,No information,No information, Electronic 1 Trip,No information,No information,No information,No information,No information,No information, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information, Optional,, 6+,No information, Phone,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All,No information,No information,No information, Disc, Disc,No information,No information,No information,No information,No information,No information,No information,No information, Centre, Leather,,,,No information,No information, Front & Rear, Captain Seats,,, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Front and Rear Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,, Internal with Remote, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information, Black, Front and Rear, Multi-colour, Front Only,,,No information,,No information, Co-Driver Only,No information, Electrically Adjustable,No information,No information, 5, Unlimited,No information,,Porsche Cayenne GTS, 210,No information,No information,No information, 2 Din,No information,No information, All, Heated and cooled, Electric,No information,No information,,,,,,,,,,,,,,,,
7, Hybrid (Electric + Petrol)," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 253, 5, Full-time, 41.6, 3125," 2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 3.0 L Turbocharged V6 + Electric Motor, 335 bhp @ 5300 rpm, 450 Nm @ 1340 rpm, Turbocharged, AWD," Regenerative Braking, Idle Start/Stop, Pure Electric Driving Mode", BS 6, Power assisted (Hydraulic),, Fully independent extra-large format double wishbone, fully independent multi-link suspension, Alloy Wheels, 285 / 40 R21, 315 / 35 R21, Alloy, 645, 75, 5, 4918, 1983, 1696, 2895, 2295, 2, 5, 5 Star (Euro NCAP)," 9 Airbags (Driver, Passenger, 2 Curtain, Driver Knee, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Remote, Digital,No information,No information,No information,No information, Electronic 1 Trip,No information,No information,No information,No information,No information,No information, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information, Optional,, 6+,No information, Phone,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All,No information,No information,No information, Disc, Disc,No information,No information,No information,No information,No information,No information,No information,No information, Centre, Leather,,,,No information,No information, Front & Rear, Captain Seats,,, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Front and Rear Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,, Internal with Remote, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Slate Grey", Front and Rear, Multi-colour, Front Only,,,No information,,No information, Co-Driver Only,No information, Electrically Adjustable,No information,No information, 5, Unlimited,No information,,Porsche Cayenne E-Hybrid Platinum Edition, 210,No information,No information,No information, 2 Din,No information,No information, All, Heated and cooled, Electric,No information,No information," 335 bhp @ 5300 rpm, 450 Nm @ 1340 rpm", 1 Permanent magnet synchronous Placed At Integrated with Transmission," 134 bhp @ 2800 rpm, 400 Nm"," 17.9 kWh, Lithium Ion,Battery Placed In Boot",,,,,,,,,,,,
8, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 286, 4.1, Full-time, 8.6, 776," 3996 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 4.0L Twin-turbocharged Petrol V8, 542 bhp @ 5750 rpm, 770 Nm @ 2000 rpm, Twin Turbo, AWD,  Idle Start/Stop, BS 6, Power assisted (Hydraulic),, Fully independent extra-large format double wishbone, fully independent multi-link suspension, Alloy Wheels, 285 / 40 R21, 315 / 35 R21, Alloy, 745, 90, 5, 4926, 1983, 1673, 2895, 2175, 2, 5, 5 Star (Euro NCAP)," 9 Airbags (Driver, Passenger, 2 Curtain, Driver Knee, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Remote, Digital,No information,No information,No information,No information, Electronic 1 Trip,No information,No information,No information,No information,No information,No information, Front & Rear, Reverse Camera with Guidance, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (No), Apple Car Play (Yes)",No information, Optional,, 6+,No information, Phone,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All,No information,No information,No information, Disc, Disc,No information,No information,No information,No information,No information,No information,No information,No information, Centre, Leather,,,,No information,No information, Front & Rear, Captain Seats,,, Front & Rear, All, All,No information,No information,No information, Body Coloured, Chrome, Front and Rear Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,, Internal with Remote, LED,No information,No information,No information, LED," LED on front, LED on rear", LED,No information, Single Tone,No information,No information," Black, Slate Grey", Front and Rear, Multi-colour, Front Only,,,No information,,No information, Co-Driver Only,No information, Electrically Adjustable,No information,No information, 5, Unlimited,No information,,Porsche Cayenne Turbo, 190,No information,No information,No information, 2 Din,No information,No information, All, Heated and cooled, Electric,No information,No information,,,,,,,,,,,,,,,,
9, Petrol," Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode", 275, 4.9,, 14.5, 730," 1988 cc, 4 Cylinders Flat, 4 Valves/Cylinder, DOHC",  MA2.20 Turbocharged Flat-4, 295 bhp @ 6500 rpm, 380 Nm @ 2150 rpm, Turbocharged, RWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.5, McPherson Spring-Strut, McPherson Spring-Strut, Alloy Wheels, 235 / 45 R18, 265 / 45 R18,, 272, 54, 2, 4379, 1801, 1295, 2475, 1365, 1, 2,," 6 Airbags (Driver, Front Passenger, Driver Knee, Front Passenger Knee, Driver Side, Front Passenger Side)",,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information, Optional, Remote, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera, Digital,No information, Analogue,No information, Touch-screen Display,," Android Auto (No), Apple Car Play (No)",No information,,, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls",,, Electronic - All,No information,,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,,,, Leather + Alcantara," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)"," 2 way electrically adjustable (backrest tilt forward / back) + 4 way manually adjustable (seat forward / back, seat height up / down)",,No information,, Front,,,, Front Only, All, All,No information,,No information, Body Coloured, Chrome,,, Body Coloured, Electrically Adjustable & Retractable,, Remote Operated, Bi-Xenon Projector,No information,No information,No information, LED,, LED,, Single Tone,No information,No information," Black, Agate Grey", Front,, Front Only,,No information,No information, Front,,,,,No information,No information, 3, 60000,No information,,Porsche 718 Cayman,,,No information,,,No information,,,,,,,,,,,No information,No information,No information, Optional,,,,,,,,
